stats;stats_description;stats_description_resume;stats_type
Potential;The career peak of the player – your guess of how good the player will be, is, or once was.;The career peak of the player – your guess of how good the player will be, is, or once was.;Rating 
Crossing;This attribute measures how accurately the player crosses the ball during both normal running and free kick set pieces. This is basically the attribute for the players who play through the wings, but it also has an influence over free kick set pieces and it also determines how easy it is for a player to get the ball in the box in the first place. If your winger keeps getting blocked when you are expecting him to whip the ball in, there’s a good chance he has a poor crossing score.;How accurately the player crosses the ball.;Passing
Finishing;Finishing is the accuracy of shots using foot, inside the penalty area. Not everyone knows, but finishing has no influence over headers or finishes from outside of the area. Being a great finisher doesn’t necessarily mean being able to beat the goalkeeper, but shooting on target more easily. An analogy would be thinking that having high finishing will affect the ball’s magnetism, so when the ball would have normally hit the post for a bad finisher, a great finisher would have this force push it towards the goal, or when it would’ve normally gone wide the ball would at least hit the post;The accuracy of shots using foot, inside the penalty area.;Shooting
HeadingAccuracy;This stats measures the heading accuracy of the player for either a pass or a shot. In fact, this stats does two things: affects your player’s ability to get their head on the ball, then how accurate that header is going to be. It applies to headed passes as well as headers at goal.;The heading accuracy of the player for either a pass or a shot.;General
ShortPassing;This attribute ranks how well a player performs a short / ground pass to his teammate. In other words, it determines a player’s accuracy and speed of passing over a short distance.;How well a player performs a short / ground pass to his team mate.;Passing
Volleys;This last attribute measures the accuracy and power of volleys at goal. It affects the technique and accuracy of shots taken while the ball is in the air. This tends to be coupled with the balance trait if he is not fully facing the goal. Volleys stat is responsible for some of the most beautiful goals.;The accuracy and power of volleys at goal.;Shooting
Dribbling;Dribbling is the player’s ability to carry the ball and past an opponent. A higher value means the player will be able to keep better possession of the ball whilst dribbling because he will keep the ball closer, making it harder for the opponent to win it off of him. Dribbling has no connection with the ball receiving factor whatsoever, that only has to do with ball control, but as soon as you have the ball ahead of you that’s when dribbling counts, allowing you to get past the opponent using dribbles. If you enjoy dribbling, your players must have good numbers on this attribute. However, good dribbling doesn’t necessarily mean the player will have many stars of skill moves. You can find players with 4 or even 5 stars of skill that have low dribbling. Skill moves stars simply qualify the player to perform certain special moves with the ball, whether it’s for dribbling or not, so although these two have similar objectives (dribbles), they aren’t directly connected. It’s also true that when we do choose players with 4 or 5 stars of skill moves, it’s because we actually want to dribble, with or without special moves, so it isn’t enough to choose a player just for his skill moves stars. If you wish to have a skilled squad, you’ll also have to check dribbling, ball control and balance.;A higher value means the player will be able to keep better possession of the ball whilst dribbling.;General
Curve;"Curve is used to measures the player’s ability to curve the ball when passing and shooting. The higher the value the more curve/curl the player is capable of putting on the ball. It’s a good attribute to have for any set piece takers; curling corners can be a nightmare to defend against, and curling free-kicks can be tough to save.";The higher the value the more curve/curl the player is capable of putting on the ball. E.g. Beckham free kick.;General
FKAccuracy;Free Kick is a FIFA attribute used to measures the player’s accuracy for taking Free Kicks. The higher the value the better the accuracy of a direct free kick on goal. Ideally, you should pick a free-kick taker who has a good score for free kick accuracy and curve.;The higher the value the better the accuracy of a direct free kick on goal.;Shooting
LongPassing;This stat is used to classify how well a player performs a long pass in the air to his teammate. It doesn’t affect long ground passes. This also determines how quickly the ball gets to him – the higher the score, the faster and more accurate the pass will be.;How well a player performs a long pass in the air to his team mate.;Passing
